,subject,score,display,question,dimension,question_number,qdirection,item
267,sub001,1.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
273,sub001,3.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
279,sub001,3.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
285,sub001,1.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
291,sub001,1.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
301,sub002,0.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
307,sub002,1.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
313,sub002,1.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
325,sub002,4.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
331,sub002,4.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
337,sub002,1.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
343,sub002,3.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
355,sub002,3.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
361,sub002,1.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
367,sub002,3.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
373,sub002,4.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
379,sub002,3.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
385,sub002,1.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
391,sub002,4.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
397,sub002,2.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
403,sub002,3.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
409,sub002,3.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
415,sub002,3.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
427,sub002,1.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
433,sub002,3.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
439,sub002,2.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
451,sub002,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
457,sub002,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
463,sub002,3.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
469,sub002,4.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
475,sub002,4.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
481,sub002,3.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
487,sub002,3.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
493,sub002,4.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
499,sub002,3.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
505,sub002,3.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
511,sub002,4.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
517,sub002,3.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
523,sub002,4.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
529,sub002,3.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
535,sub002,1.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
541,sub002,3.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
547,sub002,3.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
553,sub002,1.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
559,sub002,3.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
565,sub002,0.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
577,sub002,2.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
583,sub002,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
589,sub002,0.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
599,sub003,3.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
605,sub003,1.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
611,sub003,3.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
617,sub003,4.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
623,sub003,4.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
629,sub003,3.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
635,sub003,3.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
641,sub003,1.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
647,sub003,3.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
653,sub003,1.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
659,sub003,1.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
665,sub003,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
671,sub003,1.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
677,sub003,3.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
689,sub003,1.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
695,sub003,3.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
701,sub003,4.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
707,sub003,3.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
713,sub003,1.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
719,sub003,1.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
725,sub003,3.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
731,sub003,3.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
737,sub003,1.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
743,sub003,3.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
749,sub003,1.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
755,sub003,3.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
761,sub003,1.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
767,sub003,1.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
773,sub003,1.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
779,sub003,1.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
785,sub003,3.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
791,sub003,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
797,sub003,0.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
803,sub003,1.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
809,sub003,3.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
815,sub003,1.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
821,sub003,1.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
827,sub003,2.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
833,sub003,1.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
839,sub003,1.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
851,sub003,3.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
857,sub003,1.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
869,sub003,3.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
887,sub003,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
897,sub004,0.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
903,sub004,0.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
915,sub004,1.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
927,sub004,1.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
933,sub004,1.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
939,sub004,0.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
945,sub004,2.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
951,sub004,0.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
957,sub004,3.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
963,sub004,4.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
969,sub004,0.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
975,sub004,3.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
981,sub004,2.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
987,sub004,1.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
993,sub004,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
999,sub004,0.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
1005,sub004,0.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
1011,sub004,0.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
1017,sub004,4.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
1023,sub004,4.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
1029,sub004,3.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
1035,sub004,2.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
1041,sub004,3.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
1059,sub004,2.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
1065,sub004,2.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
1071,sub004,3.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
1077,sub004,4.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
1083,sub004,3.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
1089,sub004,3.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
1101,sub004,1.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
1107,sub004,2.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
1113,sub004,1.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
1119,sub004,3.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
1125,sub004,1.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
1131,sub004,0.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
1137,sub004,4.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
1143,sub004,3.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
1149,sub004,3.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
1155,sub004,1.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
1161,sub004,0.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
1167,sub004,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
1173,sub004,3.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
1179,sub004,4.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
1185,sub004,0.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
1195,sub005,1.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
1201,sub005,4.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
1207,sub005,0.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
1213,sub005,3.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
1231,sub005,3.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
1237,sub005,3.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
1243,sub005,0.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
1249,sub005,2.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
1255,sub005,4.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
1261,sub005,2.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
1267,sub005,3.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
1273,sub005,3.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
1279,sub005,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
1285,sub005,3.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
1291,sub005,3.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
1297,sub005,2.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
1303,sub005,1.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
1309,sub005,1.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
1315,sub005,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
1321,sub005,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
1327,sub005,1.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
1339,sub005,3.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
1351,sub005,3.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
1357,sub005,2.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
1363,sub005,4.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
1375,sub005,3.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
1381,sub005,1.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
1387,sub005,3.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
1393,sub005,4.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
1399,sub005,3.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
1405,sub005,3.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
1411,sub005,2.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
1417,sub005,1.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
1423,sub005,2.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
1429,sub005,4.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
1435,sub005,1.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
1441,sub005,4.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
1447,sub005,1.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
1453,sub005,0.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
1459,sub005,0.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
1465,sub005,0.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
1471,sub005,2.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
1477,sub005,2.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
1483,sub005,1.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
1493,sub006,1.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
1499,sub006,0.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
1511,sub006,0.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
1517,sub006,0.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
1523,sub006,3.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
1529,sub006,0.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
1535,sub006,0.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
1541,sub006,3.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
1547,sub006,0.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
1553,sub006,1.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
1559,sub006,1.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
1565,sub006,0.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
1571,sub006,1.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
1577,sub006,1.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
1583,sub006,1.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
1589,sub006,1.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
1601,sub006,2.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
1607,sub006,0.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
1613,sub006,1.0,chs,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
1619,sub006,4.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
1625,sub006,1.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
1631,sub006,4.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
1643,sub006,3.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
1649,sub006,3.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
1655,sub006,0.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
1661,sub006,3.0,chs,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
1667,sub006,0.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
1679,sub006,0.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
1685,sub006,4.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
1691,sub006,0.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
1697,sub006,3.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
1703,sub006,1.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
1709,sub006,0.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
1715,sub006,1.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
1721,sub006,4.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
1727,sub006,0.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
1733,sub006,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
1739,sub006,2.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
1745,sub006,0.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
1751,sub006,0.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
1757,sub006,0.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
1763,sub006,0.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
1769,sub006,0.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
1781,sub006,0.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
1791,sub007,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
1797,sub007,2.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
1803,sub007,4.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
1809,sub007,3.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
1821,sub007,1.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
1827,sub007,3.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
1833,sub007,1.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
1839,sub007,3.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
1845,sub007,1.0,chs,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
1851,sub007,3.0,chs,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
1863,sub007,1.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
1869,sub007,3.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
1875,sub007,1.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
1881,sub007,3.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
1887,sub007,1.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
1899,sub007,3.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
1905,sub007,3.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
1911,sub007,1.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
1917,sub007,3.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
1923,sub007,1.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
1929,sub007,3.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
1935,sub007,3.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
1941,sub007,1.0,chs,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
1947,sub007,3.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
